SELECT * FROM state_vectors_data4 v JOIN (SELECT MAX(time) AS recent, count(*) as cnt, icao24 FROM state_vectors_data4, state_vectors_data4.serials s WHERE hour=1480SELECT * FROM state_vectors_data4 v JOIN (SELECT MAX(time) AS recent, count(*) as cnt, icao24 FROM state_vectors_data4, state_vectors_data4.serials s WHERE hour=1480762800 AND s.ITEM=1344390019 GROUP BY icao24) AS m ON v.icao24=m.icao24 AND v.time=m.recent WHERE cnt>30 AND v.hour=1480762800;
+------------+--------+-------------------+----------------------+-------------------+--------------------+--------------------+----------+----------+-------+-------+--------+--------------------+-------------------+-------------------+-------------------+------------+------------+------+--------+
| time       | icao24 | lat               | lon                  | velocity          | heading            | vertrate           | callsign | onground | alert | spi   | squawk | baroaltitude       | geoaltitude       | lastposupdate     | lastcontact       | hour       | recent     | cnt  | icao24 |
| 1480762904 | 406a92 | 50.28451538085938 | 4.829719945004111    | 218.9894510303839 | 343.9066966392771  | 0.32512            | EZY81GJ  | false    | false | false | 1000   | 10325.1            | 10271.76          | 1480762895.998    | 1480762903.877    | 1480762800 | 1480762904 | 64   | 406a92 |
| 1480766399 | 44ce75 | 49.71368408203125 | 6.96468152497944     | 189.0138946346433 | 307.3689228454551  | -7.477760000000001 | BEL32V   | false    | false | false | 3574   | 7901.940000000001  | 7901.940000000001 | 1480766398.124    | 1480766398.912759 | 1480762800 | 1480766399 | 1021 | 44ce75 |
| 1480765455 | 49d24a | NULL              | NULL                 | NULL              | NULL               | NULL               | NULL     | false    | false | false | 2332   | 7322.820000000001  | NULL              | NULL              | 1480765454.766    | 1480762800 | 1480765455 | 1486 | 49d24a |
| 1480766399 | 3c486b | 49.61599731445312 | 5.33133255807977     | 225.2166267004245 | 255.5828483742548  | 3.57632            | BER780G  | false    | false | false | 2527   | 9776.460000000001  | 9707.880000000001 | 1480766398.999    | 1480766398.999    | 1480762800 | 1480766399 | 1152 | 3c486b |
| 1480763797 | 3c4a25 | 50.70799255371094 | 8.661606247360641    | 187.8425185615791 | 324.699457158905   | 0                  | NULL     | false    | false | false | 0236   | 10660.38           | 7307.580000000001 | 1480763791.788    | 1480763796.505    | 1480762800 | 1480763797 | 162  | 3c4a25 |
| 1480766399 | 3c4b24 | 51.94253540039062 | -4.64630126953125    | 245.5746809149481 | 274.3250604347385  | 0                  | DLH400   | false    | false | false | 2503   | 10363.2            | 10378.44          | 1480766398.27     | 1480766398.993    | 1480762800 | 1480766399 | 133  | 3c4b24 |
| 1480766399 | 3c5cac | 50.09536743164062 | 4.692463121916118    | 222.4540563944965 | 240.9453959009228  | 0.32512            | GMI9826  | false    | false | false | 0122   | 11277.6            | 11186.16          | 1480766398.692    | 1480766398.75     | 1480762800 | 1480766399 | 789  | 3c5cac |
| 1480765120 | 471f8d | 50.37459551277807 | 5.931058316617399    | 217.9227532468338 | 301.2885064605675  | 0.32512            | WZZ9ZP   | false    | false | false | 2246   | 11582.4            | 11490.96          | 1480765118.2      | 1480765119.856    | 1480762800 | 1480765120 | 1745 | 471f8d |
| 1480766399 | 4ca259 | 49.20157222424523 | 9.724273681640625    | 239.7507744039758 | 117.3348137984208  | 0                  | RYR598D  | false    | false | false | 0103   | 11277.6            | 11148.06          | 1480766397.359    | 1480766398.916    | 1480762800 | 1480766399 | 1453 | 4ca259 |
| 1480763963 | 4ca512 | 50.55715942382812 | 6.639356111225329    | 152.4005076532731 | 34.5483670560113   | -3.2512            | RYR44QZ  | false    | false | false | 7374   | 2773.68            | 2804.16           | 1480763841.773158 | 1480763949.097    | 1480762800 | 1480763963 | 720  | 4ca512 |
| 1480766399 | 4ca798 | 48.89553781283104 | 6.799597489206414    | 245.8504139768657 | 151.504361381755   | 1.95072            | AZA107   | false    | false | false | 1000   | 11277.6            | 11269.98          | 1480766398.576    | 1480766398.973    | 1480762800 | 1480766399 | 1336 | 4ca798 |
| 1480763831 | 3c4dd0 | NULL              | NULL                 | NULL              | NULL               | NULL               | NULL     | false    | false | false | 0123   | 10058.4            | NULL              | NULL              | 1480763830.46     | 1480762800 | 1480763831 | 632  | 3c4dd0 |
| 1480765420 | 3c6442 | 51.30853271484375 | 7.466249208192568    | 198.0709613828353 | 293.9020504110109  | -14.95552          | DLH4AE   | false    | false | false | 1000   | 3139.44            | 3558.54           | 1480765418.389    | 1480765418.471    | 1480762800 | 1480765420 | 821  | 3c6442 |
| 1480766398 | 3ff3e1 | NULL              | NULL                 | NULL              | NULL               | NULL               | DMAAV    | false    | false | false | 7275   | 853.4400000000001  | NULL              | NULL              | 1480766384.022    | 1480762800 | 1480766398 | 669  | 3ff3e1 |
| 1480766399 | 484acb | 50.08317850403866 | 6.130074165962838    | 229.7451841935802 | 160.5101489557603  | 0.32512            | NULL     | false    | false | false | 1000   | 10668              | NULL              | 1480766279.05     | 1480766398.95     | 1480762800 | 1480766399 | 770  | 484acb |
| 1480766399 | 3c56ed | 47.83815028303761 | 0.1150747445913461   | 228.4560023109714 | 224.4526047491223  | -0.32512           | EWG9T    | false    | false | false | 1107   | 10668              | 10690.86          | 1480766398.792    | 1480766398.792    | 1480762800 | 1480766399 | 545  | 3c56ed |
